#  raio       pgas        prad      epspp      epscno   epstot
  0.630D+00  0.405D+15  0.238D+12  0.561D-04  0.316D-19  0.561D-04
  0.625D+00  0.430D+15  0.252D+12  0.650D-04  0.540D-19  0.650D-04
  0.620D+00  0.457D+15  0.267D+12  0.753D-04  0.920D-19  0.753D-04
  0.615D+00  0.484D+15  0.283D+12  0.870D-04  0.156D-18  0.870D-04
  0.610D+00  0.514D+15  0.299D+12  0.101D-03  0.264D-18  0.101D-03
  0.605D+00  0.545D+15  0.317D+12  0.116D-03  0.446D-18  0.116D-03
  0.600D+00  0.579D+15  0.336D+12  0.134D-03  0.750D-18  0.134D-03
  0.595D+00  0.614D+15  0.356D+12  0.155D-03  0.126D-17  0.155D-03
  0.590D+00  0.651D+15  0.377D+12  0.178D-03  0.210D-17  0.178D-03
  0.585D+00  0.691D+15  0.399D+12  0.205D-03  0.351D-17  0.205D-03
  0.580D+00  0.733D+15  0.422D+12  0.236D-03  0.585D-17  0.236D-03
  0.575D+00  0.777D+15  0.447D+12  0.272D-03  0.970D-17  0.272D-03
  0.570D+00  0.824D+15  0.473D+12  0.312D-03  0.161D-16  0.312D-03
  0.565D+00  0.874D+15  0.501D+12  0.359D-03  0.266D-16  0.359D-03
  0.560D+00  0.927D+15  0.530D+12  0.412D-03  0.438D-16  0.412D-03
  0.555D+00  0.983D+15  0.562D+12  0.474D-03  0.720D-16  0.474D-03
  0.550D+00  0.104D+16  0.595D+12  0.543D-03  0.118D-15  0.543D-03
  0.545D+00  0.111D+16  0.629D+12  0.623D-03  0.194D-15  0.623D-03
  0.540D+00  0.117D+16  0.666D+12  0.714D-03  0.316D-15  0.714D-03
  0.535D+00  0.124D+16  0.706D+12  0.818D-03  0.516D-15  0.818D-03
  0.530D+00  0.132D+16  0.747D+12  0.937D-03  0.840D-15  0.937D-03
  0.525D+00  0.140D+16  0.791D+12  0.107D-02  0.136D-14  0.107D-02
  0.520D+00  0.148D+16  0.838D+12  0.123D-02  0.221D-14  0.123D-02
  0.515D+00  0.157D+16  0.887D+12  0.140D-02  0.358D-14  0.140D-02
  0.510D+00  0.166D+16  0.939D+12  0.160D-02  0.578D-14  0.160D-02
  0.505D+00  0.176D+16  0.995D+12  0.183D-02  0.931D-14  0.183D-02
  0.500D+00  0.187D+16  0.105D+13  0.209D-02  0.150D-13  0.209D-02
  0.495D+00  0.198D+16  0.112D+13  0.239D-02  0.241D-13  0.239D-02
  0.490D+00  0.210D+16  0.118D+13  0.272D-02  0.386D-13  0.272D-02
  0.485D+00  0.223D+16  0.125D+13  0.311D-02  0.617D-13  0.311D-02
  0.480D+00  0.236D+16  0.133D+13  0.354D-02  0.986D-13  0.354D-02
  0.475D+00  0.250D+16  0.140D+13  0.404D-02  0.157D-12  0.404D-02
  0.470D+00  0.265D+16  0.149D+13  0.460D-02  0.250D-12  0.460D-02
  0.465D+00  0.281D+16  0.158D+13  0.524D-02  0.397D-12  0.524D-02
  0.460D+00  0.298D+16  0.167D+13  0.596D-02  0.630D-12  0.596D-02
  0.455D+00  0.316D+16  0.177D+13  0.678D-02  0.998D-12  0.678D-02
  0.450D+00  0.335D+16  0.187D+13  0.771D-02  0.158D-11  0.771D-02
  0.445D+00  0.354D+16  0.199D+13  0.876D-02  0.249D-11  0.876D-02
  0.440D+00  0.376D+16  0.210D+13  0.995D-02  0.393D-11  0.995D-02
  0.435D+00  0.398D+16  0.223D+13  0.113D-01  0.618D-11  0.113D-01
  0.430D+00  0.422D+16  0.236D+13  0.128D-01  0.970D-11  0.128D-01
  0.425D+00  0.447D+16  0.250D+13  0.146D-01  0.152D-10  0.146D-01
  0.420D+00  0.473D+16  0.265D+13  0.165D-01  0.238D-10  0.165D-01
  0.415D+00  0.501D+16  0.281D+13  0.187D-01  0.373D-10  0.187D-01
  0.410D+00  0.531D+16  0.298D+13  0.212D-01  0.581D-10  0.212D-01
  0.405D+00  0.563D+16  0.316D+13  0.241D-01  0.906D-10  0.241D-01
  0.400D+00  0.596D+16  0.335D+13  0.272D-01  0.141D-09  0.272D-01
  0.395D+00  0.631D+16  0.356D+13  0.308D-01  0.219D-09  0.308D-01
  0.390D+00  0.669D+16  0.377D+13  0.349D-01  0.340D-09  0.349D-01
  0.385D+00  0.708D+16  0.400D+13  0.395D-01  0.526D-09  0.395D-01
  0.380D+00  0.750D+16  0.424D+13  0.446D-01  0.814D-09  0.446D-01
  0.375D+00  0.794D+16  0.450D+13  0.505D-01  0.126D-08  0.505D-01
  0.370D+00  0.841D+16  0.477D+13  0.570D-01  0.194D-08  0.570D-01
  0.365D+00  0.890D+16  0.506D+13  0.644D-01  0.298D-08  0.644D-01
  0.360D+00  0.943D+16  0.537D+13  0.727D-01  0.459D-08  0.727D-01
  0.355D+00  0.998D+16  0.570D+13  0.820D-01  0.704D-08  0.820D-01
  0.350D+00  0.106D+17  0.605D+13  0.925D-01  0.108D-07  0.925D-01
  0.345D+00  0.112D+17  0.642D+13  0.104D+00  0.165D-07  0.104D+00
  0.340D+00  0.118D+17  0.681D+13  0.118D+00  0.252D-07  0.118D+00
  0.335D+00  0.125D+17  0.723D+13  0.132D+00  0.385D-07  0.132D+00
  0.330D+00  0.133D+17  0.767D+13  0.149D+00  0.586D-07  0.149D+00
  0.325D+00  0.140D+17  0.815D+13  0.168D+00  0.891D-07  0.168D+00
  0.320D+00  0.148D+17  0.865D+13  0.189D+00  0.135D-06  0.189D+00
  0.315D+00  0.157D+17  0.918D+13  0.212D+00  0.205D-06  0.212D+00
  0.310D+00  0.166D+17  0.975D+13  0.239D+00  0.311D-06  0.239D+00
  0.305D+00  0.176D+17  0.104D+14  0.268D+00  0.469D-06  0.268D+00
  0.300D+00  0.186D+17  0.110D+14  0.301D+00  0.708D-06  0.301D+00
  0.295D+00  0.196D+17  0.117D+14  0.338D+00  0.107D-05  0.338D+00
  0.290D+00  0.208D+17  0.124D+14  0.379D+00  0.160D-05  0.379D+00
  0.285D+00  0.220D+17  0.132D+14  0.425D+00  0.241D-05  0.425D+00
  0.280D+00  0.232D+17  0.140D+14  0.477D+00  0.361D-05  0.477D+00
  0.275D+00  0.245D+17  0.149D+14  0.534D+00  0.540D-05  0.534D+00
  0.270D+00  0.259D+17  0.158D+14  0.598D+00  0.807D-05  0.598D+00
  0.265D+00  0.274D+17  0.168D+14  0.670D+00  0.120D-04  0.670D+00
  0.260D+00  0.290D+17  0.178D+14  0.749D+00  0.179D-04  0.749D+00
  0.255D+00  0.306D+17  0.189D+14  0.838D+00  0.266D-04  0.838D+00
  0.250D+00  0.323D+17  0.201D+14  0.937D+00  0.395D-04  0.937D+00
  0.245D+00  0.342D+17  0.214D+14  0.105D+01  0.584D-04  0.105D+01
  0.240D+00  0.361D+17  0.227D+14  0.117D+01  0.863D-04  0.117D+01
  0.235D+00  0.381D+17  0.241D+14  0.130D+01  0.127D-03  0.130D+01
  0.230D+00  0.403D+17  0.256D+14  0.145D+01  0.187D-03  0.145D+01
  0.225D+00  0.425D+17  0.272D+14  0.162D+01  0.274D-03  0.162D+01
  0.220D+00  0.449D+17  0.289D+14  0.181D+01  0.402D-03  0.181D+01
  0.215D+00  0.474D+17  0.307D+14  0.201D+01  0.586D-03  0.201D+01
  0.210D+00  0.501D+17  0.326D+14  0.224D+01  0.853D-03  0.224D+01
  0.205D+00  0.529D+17  0.346D+14  0.249D+01  0.124D-02  0.249D+01
  0.200D+00  0.559D+17  0.367D+14  0.277D+01  0.179D-02  0.277D+01
  0.195D+00  0.590D+17  0.389D+14  0.308D+01  0.259D-02  0.308D+01
  0.190D+00  0.623D+17  0.413D+14  0.342D+01  0.372D-02  0.342D+01
  0.185D+00  0.658D+17  0.438D+14  0.380D+01  0.533D-02  0.380D+01
  0.180D+00  0.695D+17  0.464D+14  0.421D+01  0.761D-02  0.422D+01
  0.175D+00  0.734D+17  0.491D+14  0.467D+01  0.108D-01  0.468D+01
  0.170D+00  0.776D+17  0.519D+14  0.517D+01  0.153D-01  0.518D+01
  0.165D+00  0.820D+17  0.549D+14  0.572D+01  0.215D-01  0.574D+01
  0.160D+00  0.868D+17  0.580D+14  0.632D+01  0.300D-01  0.635D+01
  0.155D+00  0.918D+17  0.612D+14  0.699D+01  0.415D-01  0.703D+01
  0.150D+00  0.971D+17  0.644D+14  0.771D+01  0.571D-01  0.777D+01
  0.145D+00  0.103D+18  0.677D+14  0.850D+01  0.777D-01  0.858D+01
  0.140D+00  0.109D+18  0.711D+14  0.936D+01  0.105D+00  0.946D+01
  0.135D+00  0.116D+18  0.743D+14  0.103D+02  0.139D+00  0.104D+02
  0.130D+00  0.123D+18  0.774D+14  0.113D+02  0.180D+00  0.115D+02
  0.125D+00  0.130D+18  0.803D+14  0.123D+02  0.229D+00  0.126D+02
