#  raio      kapbf      kapff      sigmae      kaptot     densidade
  0.630D+00  0.838D+01  0.111D+01  0.341D+00  0.982D+01   0.961D+00
  0.625D+00  0.833D+01  0.110D+01  0.341D+00  0.977D+01   0.101D+01
  0.620D+00  0.829D+01  0.109D+01  0.341D+00  0.972D+01   0.105D+01
  0.615D+00  0.824D+01  0.109D+01  0.341D+00  0.967D+01   0.110D+01
  0.610D+00  0.820D+01  0.108D+01  0.341D+00  0.962D+01   0.115D+01
  0.605D+00  0.815D+01  0.108D+01  0.341D+00  0.957D+01   0.120D+01
  0.600D+00  0.811D+01  0.107D+01  0.341D+00  0.952D+01   0.126D+01
  0.595D+00  0.807D+01  0.107D+01  0.341D+00  0.948D+01   0.132D+01
  0.590D+00  0.803D+01  0.106D+01  0.341D+00  0.943D+01   0.138D+01
  0.585D+00  0.798D+01  0.105D+01  0.341D+00  0.938D+01   0.144D+01
  0.580D+00  0.794D+01  0.105D+01  0.341D+00  0.933D+01   0.150D+01
  0.575D+00  0.790D+01  0.104D+01  0.341D+00  0.928D+01   0.157D+01
  0.570D+00  0.786D+01  0.104D+01  0.341D+00  0.923D+01   0.165D+01
  0.565D+00  0.781D+01  0.103D+01  0.341D+00  0.919D+01   0.172D+01
  0.560D+00  0.777D+01  0.103D+01  0.341D+00  0.914D+01   0.180D+01
  0.555D+00  0.773D+01  0.102D+01  0.341D+00  0.909D+01   0.188D+01
  0.550D+00  0.769D+01  0.101D+01  0.341D+00  0.904D+01   0.197D+01
  0.545D+00  0.764D+01  0.101D+01  0.341D+00  0.899D+01   0.205D+01
  0.540D+00  0.760D+01  0.100D+01  0.341D+00  0.894D+01   0.215D+01
  0.535D+00  0.756D+01  0.998D+00  0.341D+00  0.889D+01   0.224D+01
  0.530D+00  0.751D+01  0.992D+00  0.341D+00  0.885D+01   0.235D+01
  0.525D+00  0.747D+01  0.986D+00  0.341D+00  0.880D+01   0.245D+01
  0.520D+00  0.743D+01  0.980D+00  0.341D+00  0.875D+01   0.256D+01
  0.515D+00  0.738D+01  0.975D+00  0.341D+00  0.870D+01   0.268D+01
  0.510D+00  0.734D+01  0.969D+00  0.341D+00  0.865D+01   0.280D+01
  0.505D+00  0.729D+01  0.963D+00  0.341D+00  0.860D+01   0.293D+01
  0.500D+00  0.725D+01  0.957D+00  0.341D+00  0.855D+01   0.306D+01
  0.495D+00  0.720D+01  0.951D+00  0.341D+00  0.849D+01   0.319D+01
  0.490D+00  0.716D+01  0.945D+00  0.341D+00  0.844D+01   0.334D+01
  0.485D+00  0.711D+01  0.939D+00  0.341D+00  0.839D+01   0.349D+01
  0.480D+00  0.706D+01  0.933D+00  0.341D+00  0.834D+01   0.364D+01
  0.475D+00  0.702D+01  0.927D+00  0.341D+00  0.829D+01   0.381D+01
  0.470D+00  0.697D+01  0.921D+00  0.341D+00  0.823D+01   0.398D+01
  0.465D+00  0.692D+01  0.914D+00  0.341D+00  0.818D+01   0.415D+01
  0.460D+00  0.688D+01  0.908D+00  0.341D+00  0.813D+01   0.434D+01
  0.455D+00  0.683D+01  0.902D+00  0.341D+00  0.807D+01   0.453D+01
  0.450D+00  0.678D+01  0.895D+00  0.341D+00  0.802D+01   0.473D+01
  0.445D+00  0.673D+01  0.889D+00  0.341D+00  0.796D+01   0.494D+01
  0.440D+00  0.668D+01  0.883D+00  0.341D+00  0.791D+01   0.516D+01
  0.435D+00  0.663D+01  0.876D+00  0.341D+00  0.785D+01   0.539D+01
  0.430D+00  0.658D+01  0.869D+00  0.341D+00  0.779D+01   0.563D+01
  0.425D+00  0.653D+01  0.863D+00  0.341D+00  0.774D+01   0.588D+01
  0.420D+00  0.648D+01  0.856D+00  0.341D+00  0.768D+01   0.614D+01
  0.415D+00  0.643D+01  0.849D+00  0.341D+00  0.762D+01   0.641D+01
  0.410D+00  0.638D+01  0.843D+00  0.341D+00  0.756D+01   0.669D+01
  0.405D+00  0.633D+01  0.836D+00  0.341D+00  0.751D+01   0.699D+01
  0.400D+00  0.628D+01  0.829D+00  0.341D+00  0.745D+01   0.729D+01
